Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,86175.0696,BMS_Cell_Voltage_info9,00000151,--,--,--,Standard,Data frm,08,E7 0C E7 0C E7 0C E6 0C ,,
,BMS_CellVoltage11,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage12,3.303V,--,,CE7,48,16,0.001,0,,
31,Receive,86175.0419,BMS_Cell_Temp_info2,00000168,--,--,--,Standard,Data frm,08,39 39 39 39 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellTemp9,27,--,,39,0,8,1,-30,,
,BMS_CellTemp10,27,--,,39,8,8,1,-30,,
,BMS_CellTemp11,27,--,,39,16,8,1,-30,,
,BMS_CellTemp12,27,--,,39,24,8,1,-30,,
,BMS_CellTemp13,-30,--,,0,32,8,1,-30,,
,BMS_CellTemp14,-30,--,,0,40,8,1,-30,,
,BMS_CellTemp15,-30,--,,0,48,8,1,-30,,
,BMS_CellTemp16,-30,--,,0,56,8,1,-30,,
32,Receive,86175.0477,BMS_Cell_Voltage_info4,00000146,--,--,--,Standard,Data frm,08,E7 0C E6 0C E6 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage13,3.303V,--,,CE7,0,16,0.001,0,,
,BMS_CellVoltage14,3.302V,--,,CE6,16,16,0.001,0,,
,BMS_CellVoltage15,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage16,3.303V,--,,CE7,48,16,0.001,0,,
33,Receive,86175.0536,BMS_Cell_Voltage_info5,00000147,--,--,--,Standard,Data frm,08,E6 0C E6 0C E7 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage17,3.302V,--,,CE6,0,16,0.001,0,,
,BMS_CellVoltage18,3.302V,--,,CE6,16,16,0.001,0,,
,BMS_CellVoltage19,3.303V,--,,CE7,32,16,0.001,0,,
,BMS_CellVoltage20,3.303V,--,,CE7,48,16,0.001,0,,
34,Receive,86175.0576,BMS_Cell_Voltage_info6,00000148,--,--,--,Standard,Data frm,08,E6 0C E6 0C E7 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage21,3.302V,--,,CE6,0,16,0.001,0,,
,BMS_CellVoltage22,3.302V,--,,CE6,16,16,0.001,0,,
,BMS_CellVoltage23,3.303V,--,,CE7,32,16,0.001,0,,
,BMS_CellVoltage24,3.303V,--,,CE7,48,16,0.001,0,,
35,Receive,86175.0596,BMS_Cell_Voltage_info7,00000149,--,--,--,Standard,Data frm,08,E7 0C E7 0C E6 0C E6 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage25,3.303V,--,,CE7,0,16,0.001,0,,
,BMS_CellVoltage26,3.303V,--,,CE7,16,16,0.001,0,,
,BMS_CellVoltage27,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage28,3.302V,--,,CE6,48,16,0.001,0,,
36,Receive,86175.0656,BMS_Cell_Voltage_info8,00000150,--,--,--,Standard,Data frm,08,E6 0C E7 0C E6 0C E6 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage29,3.302V,--,,CE6,0,16,0.001,0,,
,BMS_CellVoltage30,3.303V,--,,CE7,16,16,0.001,0,,
,BMS_CellVoltage31,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage32,3.302V,--,,CE6,48,16,0.001,0,,
